timestamp,src_ip,src_mac,dst_ip,dst_mac
1760873837.3227077,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873837.3545136,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873837.7543516,10.0.0.10,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873839.3896239,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873839.42726,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873841.4631815,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873841.5057929,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873843.5469177,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873843.5782337,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873845.60553,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873845.6429846,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873847.6822736,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873847.7220232,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873849.7669094,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873849.7979853,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873851.830244,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873851.8657494,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873853.9054928,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873853.9471226,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873855.9784374,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873856.0185204,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873858.049969,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873858.0941303,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873860.1253524,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873860.1653461,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873862.2063413,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873862.2459073,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873864.2781131,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873864.3185267,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873866.3535545,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873866.3906662,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873868.4299774,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873868.4615495,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873870.5059683,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873870.5418725,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873872.5778432,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873872.6104753,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873872.8474052,10.0.0.20,08:00:27:6c:de:bb,10.0.0.10,08:00:27:d5:f7:5b
1760873872.8479397,10.0.0.1,08:00:27:b2:98:84,10.0.0.10,08:00:27:d5:f7:5b
1760873874.6454628,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873874.7057152,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873876.73768,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873876.7738779,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873878.8301334,10.0.0.20,08:00:27:6c:de:bb,10.0.0.10,08:00:27:d5:f7:5b
1760873878.8415983,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873878.8959732,10.0.0.1,08:00:27:b2:98:84,10.0.0.10,08:00:27:d5:f7:5b
1760873878.9089124,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
1760873880.9476519,10.0.0.1,08:00:27:d5:f7:5b,10.0.0.20,08:00:27:6c:de:bb
1760873880.985351,10.0.0.20,08:00:27:d5:f7:5b,10.0.0.1,08:00:27:b2:98:84
